Oppslutning i prosent. Antall mandater i parentes.

Måling;Dato;Ap;Høyre;Frp;SV;Sp;KrF;Venstre;MDG;Rødt;Andre
Opinion/DA / FF / ANB;20/8-2025;24,8 (47);17,9 (34);21,5 (41);5,5 (10);6,8 (13);4,5 (8);3,9 (3);3,6 (3);5,6 (10);5,8 (0)
Respons/VG / Aftenp. / BT;19/8-2025;24,8 (49);14,5 (24);21,9 (41);6,3 (10);7,0 (13);4,3 (7);5,3 (8);4,4 (7);6,4 (10);5,2 (0)
Norstat/NRK / VL / Dagbl.;15/8-2025;28,2 (55);14,6 (24);20,5 (41);7,1 (11);5,3 (9);4,8 (8);3,8 (3);4,7 (8);6,3 (10);4,5 (0)
InFact/Nettavisen;13/8-2025;26,9 (54);13,2 (22);23,9 (46);5,5 (9);5,6 (9);5,6 (9);5,1 (8);3,7 (3);5,7 (9);5,0 (0)
Respons/VG / Aftenp. / BT;11/8-2025;28,0 (52);15,2 (27);20,7 (38);7,1 (12);7,0 (12);4,6 (8);5,1 (9);2,8 (1);5,8 (10);3,8 (0)
Verian/TV2;10/8-2025;28,8 (53);16,2 (28);20,7 (40);6,2 (10);4,9 (8);4,6 (8);4,4 (7);3,5 (3);6,3 (11);4,4 (1)
Norfakta/Nat. / KK;9/8-2025;26,8 (50);14,4 (26);20,9 (39);6,2 (11);6,7 (12);3,8 (3);5,6 (10);4,2 (7);6,3 (11);5,2 (0)
Opinion/ABC / AT;6/8-2025;26,7 (50);15,8 (30);23,6 (46);6,7 (13);6,2 (12);3,1 (2);3,3 (3);3,2 (2);5,8 (11);5,7 (0)
Norfakta/Nat. / KK;5/7-2025;26,9 (50);15,7 (27);19,2 (37);8,9 (15);5,8 (10);3,7 (3);5,0 (9);4,4 (7);6,6 (11);3,6 (0)
InFact/Nettavisen;2/7-2025;25,2 (49);14,8 (26);23,9 (45);7,9 (14);7,2 (12);3,2 (2);4,4 (8);2,8 (2);6,1 (11);4,6 (0)
Verian/TV2;1/7-2025;30,9 (59);14,0 (24);21,5 (42);7,8 (14);6,0 (10);2,6 (1);4,8 (8);3,3 (2);5,1 (9);4,1 (0)
Respons/VG / Aftenp. / BT;18/6-2025;25,1 (48);16,9 (30);22,0 (41);8,8 (16);5,9 (10);3,3 (2);4,8 (8);3,4 (3);6,0 (11);3,8 (0)
Opinion/DA / FF / ANB;18/6-2025;26,8 (53);14,2 (25);22,8 (43);7,0 (12);5,4 (10);3,3 (3);5,1 (9);2,3 (1);7,3 (13);5,8 (0)
Norstat/NRK / VL / Dagbl.;17/6-2025;30,0 (55);15,8 (28);21,3 (40);8,0 (14);5,3 (10);3,3 (3);4,2 (8);2,1 (1);5,6 (10);4,6 (0)
Norfakta/Nat. / KK;7/6-2025;27,3 (50);18,2 (32);21,5 (42);5,5 (10);5,9 (10);3,5 (3);4,6 (8);3,7 (3);6,3 (11);3,4 (0)
Opinion/ABC / AT;5/6-2025;30,9 (62);13,9 (24);19,6 (39);5,5 (9);4,6 (7);4,6 (7);5,3 (9);3,8 (3);5,7 (9);6,1 (0)
InFact/Nettavisen;4/6-2025;26,7 (50);17,0 (30);21,0 (40);8,7 (14);5,5 (9);4,0 (7);4,6 (8);2,2 (1);6,1 (10);4,2 (0)
Verian/TV2;2/6-2025;31,6 (59);17,5 (32);19,1 (36);5,0 (9);6,3 (12);3,9 (3);2,7 (2);3,8 (3);6,6 (12);3,5 (1)
Norstat/NRK;22/5-2025;29,4 (54);18,4 (32);20,6 (40);6,5 (12);5,5 (10);3,5 (2);4,0 (7);3,1 (2);5,4 (10);3,7 (0)
Opinion/DA / FF / ANB;21/5-2025;27,5 (50);17,9 (33);21,0 (42);7,2 (13);6,2 (11);3,4 (3);4,2 (8);2,7 (1);4,3 (8);5,6 (0)
Respons/VG / Aftenp. / BT;13/5-2025;29,3 (55);18,6 (33);21,1 (41);6,9 (10);5,2 (8);4,3 (7);4,8 (7);2,6 (1);4,9 (7);2,2 (0)
Norfakta/Nat. / KK;10/5-2025;28,4 (54);20,7 (38);17,5 (34);7,0 (11);6,1 (9);4,2 (6);4,2 (7);2,5 (1);6,0 (9);3,6 (0)
Opinion/ABC / AT;8/5-2025;26,0 (49);18,5 (33);23,9 (46);6,5 (11);5,4 (9);3,6 (3);4,6 (8);2,5 (1);5,0 (9);3,9 (0)
InFact/Nettavisen;7/5-2025;29,0 (54);18,6 (35);21,2 (40);7,3 (14);5,8 (11);3,0 (2);3,0 (2);2,8 (1);5,5 (10);3,7 (0)
Norstat/NRK / VL / Dagbl.;6/5-2025;28,4 (54);19,1 (33);20,3 (40);7,1 (12);5,3 (10);2,3 (1);4,0 (7);3,1 (2);5,5 (10);4,9 (0)
Verian/TV2;6/5-2025;30,0 (54);18,1 (32);19,0 (37);7,4 (12);5,8 (9);4,6 (8);4,2 (7);2,5 (1);5,4 (9);3,1 (0)
Opinion/DA / FF / ANB;23/4-2025;30,4 (57);17,4 (32);20,1 (38);6,6 (12);7,0 (13);3,1 (2);3,5 (3);3,7 (3);4,6 (9);3,7 (0)
Respons/VG / Aftenp. / BT;8/4-2025;30,1 (57);20,4 (37);18,6 (35);6,4 (12);5,9 (11);3,0 (2);3,9 (3);3,8 (3);4,7 (9);3,2 (0)
Norstat/NRK / VL / Dagbl.;8/4-2025;27,9 (55);18,9 (37);21,0 (41);6,3 (12);7,2 (14);3,2 (3);3,8 (3);3,3 (3);3,7 (1);4,7 (0)
Norfakta/Nat. / KK;5/4-2025;24,0 (46);21,6 (39);19,2 (35);6,7 (12);8,4 (15);3,5 (3);5,3 (10);3,0 (2);4,0 (7);4,4 (0)
InFact/Nettavisen;3/4-2025;29,5 (56);18,1 (34);21,3 (40);5,8 (11);6,6 (12);3,3 (2);3,1 (2);3,1 (2);5,4 (10);3,9 (0)
Opinion/ABC / AT;2/4-2025;25,1 (48);22,5 (41);21,1 (41);6,2 (11);5,3 (10);3,1 (2);3,8 (3);2,5 (3);5,3 (10);5,0 (0)
Verian/TV2;1/4-2025;29,4 (53);19,5 (35);19,0 (35);6,4 (12);6,5 (12);3,8 (3);4,1 (7);2,5 (1);6,1 (11);2,7 (0)
